ETHN 49.38 9.97 160 4
ETSN 48.72 11.22 70 3
UKLL 49.82 23.95 90 6
LZZI 49.23 18.62 60 4
LZPP 48.62 17.83 160 5
LZKZ 48.67 21.23 110 3
LYUZ 43.9 19.67 60 3
LYPG 42.37 19.25 140 12
LYNI 43.33 21.85 310 8
LYKV 43.82 20.58 40 2
LWOH 41.18 20.75 340 2
LUKK 46.93 28.93 330 6
LKMT 49.68 18.12 350 3
LKKV 50.2 12.92 130 8
LHBP 47.43 19.27 130 5
LEMO 37.17 -5.62 240 12
LDZD 44.1 15.33 160 5
LDZA 45.72 16.07 150 4
LDPL 44.88 13.92 120 4
LDOS 45.47 18.82 90 4
LDDU 42.57 18.27 110 5
LBWN 43.22 27.82 110 9
LBSF 42.65 23.37 240 9
LBPD 42.05 24.85 140 6
LBBG 42.57 27.52 190 15
EPWR 51.1 16.88 140 13
EPWA 52.17 20.97 90 7
EPSY 53.47 20.93 100 3
EPRZ 50.1 22.02 90 10
EPRA 51.38 21.22 120 3
EPPO 52.42 16.83 120 12
EPLB 51.23 22.72 60 8
EPKT 50.47 19.08 90 12
EPKK 50.07 19.8 80 11
EPGD 54.37 18.47 150 6
EPBY 53.1 18 90 8
EINN 52.7 -8.92 160 11
EIDW 53.42 -6.28 150 11
EICK 51.85 -8.47 160 10
BKPR 42.58 21.03 20 4
EHKD 52.92 4.77 10 6
EHVK 51.65 5.7 320 4
EHSC 51.93 3.67 360 11
EHSA 52 3.28 330 11
EHRD 51.95 4.45 330 3
EHPG 52.37 3.35 0 12
EHMG 53.62 4.97 50 12
EHLE 52.45 5.52 330 3
EHKV 53.27 3.63 40 14
EHJA 53.82 2.95 50 13
EHHW 54.03 6.03 70 12
EHGG 53.12 6.57 60 3
EHFS 51.45 3.6 320 8
EHDV 54.32 2.93 30 16
EHDL 52.07 5.88 0 2
EHAK 55.38 3.82 60 3
LTFM 41.27 28.75 210 19
LTFJ 40.9 29.3 210 13
LTFE 37.25 27.67 150 26
LTFC 37.87 30.38 160 22
LTBU 41.13 27.92 180 9
LTBS 36.7 28.78 150 13
LTBR 40.25 29.57 90 12
LTBJ 38.28 27.15 170 18
LSZS 46.53 9.88 210 8
LSZC 46.97 8.38 80 4
LSZB 46.92 7.5 140 7
LSMP 46.83 6.92 220 8
LSGG 46.25 6.12 200 7
LSGC 47.08 6.8 240 6
LOXZ 47.2 14.75 190 5
LOWL 48.22 14.18 140 5
LOWK 46.65 14.32 240 3
LOWI 47.27 11.33 260 5
LIRZ 43.1 12.5 50 5
LIRF 41.78 12.23 150 10
LIPY 43.62 13.37 120 4
LIMZ 44.53 7.62 220 4
LIMJ 44.42 8.83 40 16
LIME 45.67 9.7 200 3
LIMC 45.62 8.72 180 3
LIEO 40.88 9.52 260 17
LIEE 39.25 9.07 350 19
LIEA 40.62 8.28 290 13
LICR 38.07 15.65 0 5
LICJ 38.17 13.08 250 9
LICD 35.5 12.62 250 15
LICB 37 14.62 260 13
LIBR 40.65 17.95 80 5
LIBP 42.42 14.18 80 6
LIBD 41.13 16.77 90 5
